id,cod_dep,departamento,cod_mun,municipio,nacidos_vivos,nacidos_vivos_atendidos_por_personal_de_salud,nacidos_muertos,nacidos_muertos_atendidos_por_personal_de_salud,nacidos_muertos_atendidos_por_partera,total_general
90,2,LA PAZ    ,21201,PUCARANI                      ,122,208,5,0,1,336
91,2,LA PAZ    ,21202,LAJA                          ,105,79,2,0,0,186
92,2,LA PAZ    ,21203,BATALLAS                      ,84,95,5,0,0,184
93,2,LA PAZ    ,21204,PUERTO PEREZ                  ,5,79,2,1,1,88
94,2,LA PAZ    ,21301,SICA SICA (VILLA AROMA)       ,118,95,2,1,0,216
95,2,LA PAZ    ,21302,UMALA                         ,39,68,0,1,0,108
96,2,LA PAZ    ,21303,AYO AYO                       ,26,77,1,0,0,104
97,2,LA PAZ    ,21304,CALAMARCA                     ,81,80,1,1,0,163
98,2,LA PAZ    ,21305,PATACAMAYA                    ,344,35,0,3,0,382
99,2,LA PAZ    ,21306,COLQUENCHA                    ,58,66,4,0,0,128
100,2,LA PAZ    ,21307,COLLANA                       ,28,16,1,1,0,46
101,2,LA PAZ    ,21401,COROICO                       ,311,22,1,1,0,335
102,2,LA PAZ    ,21402,CORIPATA                      ,90,27,0,1,0,118
103,2,LA PAZ    ,21501,IXIAMAS                       ,119,25,2,0,0,146
104,2,LA PAZ    ,21502,SAN BUENA VENTURA             ,194,22,7,2,0,225
105,2,LA PAZ    ,21601,GRAL. J.J. PEREZ  (CHARAZANI) ,17,85,14,0,1,117
106,2,LA PAZ    ,21602,CURVA                         ,0,27,2,0,0,29
107,2,LA PAZ    ,21701,COPACABANA                    ,99,34,3,1,0,137
108,2,LA PAZ    ,21702,SAN PEDRO DE TIQUINA          ,27,19,0,1,0,47
109,2,LA PAZ    ,21703,TITO YUPANQUI (PARQUIPUJIO)   ,1,3,0,0,0,4
110,2,LA PAZ    ,21801,SAN PEDRO DE CURAHUARA        ,16,62,1,0,0,79
111,2,LA PAZ    ,21802,PAPEL PAMPA                   ,33,24,0,0,0,57
112,2,LA PAZ    ,21803,CHACARILLA                    ,0,17,0,0,0,17
113,2,LA PAZ    ,21901,SANTIAGO DE MACHACA           ,16,16,0,0,0,32
114,2,LA PAZ    ,21902,CATACORA                      ,3,5,0,0,0,8
115,2,LA PAZ    ,22001,CARANAVI                      ,1090,56,10,19,0,1175
116,2,LA PAZ    ,22002,ALTO BENI                     ,82,24,1,0,0,107
117,3,COCHABAMBA,30101,COCHABAMBA                    ,21093,12,34,261,31,21431
118,3,COCHABAMBA,30201,AIQUILE                       ,412,34,7,3,1,457
119,3,COCHABAMBA,30202,PASORAPA                      ,16,8,1,0,0,25
120,3,COCHABAMBA,30203,OMEREQUE                      ,54,15,0,1,0,70
121,3,COCHABAMBA,30301,AYOPAYA (V. DE INDEPENDENCIA) ,214,118,2,0,0,334
122,3,COCHABAMBA,30302,MOROCHATA                     ,78,67,2,0,0,147
123,3,COCHABAMBA,30303,COCAPATA                      ,85,125,12,2,0,224
124,3,COCHABAMBA,30401,TARATA                        ,93,5,6,0,0,104
125,3,COCHABAMBA,30402,ANZALDO                       ,37,38,2,0,0,77
126,3,COCHABAMBA,30403,ARBIETO                       ,168,41,3,0,0,212
127,3,COCHABAMBA,30404,SACABAMBA                     ,38,1,3,0,0,42
128,3,COCHABAMBA,30501,ARANI                         ,107,18,1,1,0,127
129,3,COCHABAMBA,30502,VACAS                         ,71,50,0,0,0,121
130,3,COCHABAMBA,30601,ARQUE                         ,22,145,11,0,0,178
131,3,COCHABAMBA,30602,TACOPAYA                      ,31,93,10,0,1,135
132,3,COCHABAMBA,30701,CAPINOTA                      ,237,16,1,0,0,254
133,3,COCHABAMBA,30702,SANTIVAÑES                    ,47,5,0,1,0,53
134,3,COCHABAMBA,30703,SICAYA                        ,15,16,1,0,0,32
135,3,COCHABAMBA,30801,CLIZA                         ,381,7,1,3,0,392
136,3,COCHABAMBA,30802,TOCO                          ,48,10,0,0,0,58
137,3,COCHABAMBA,30803,TOLATA                        ,45,0,1,0,0,46
138,3,COCHABAMBA,30901,QUILLACOLLO                   ,2466,30,21,10,0,2527
139,3,COCHABAMBA,30902,SIPE SIPE                     ,472,16,3,0,0,491
140,3,COCHABAMBA,30903,TIQUIPAYA                     ,1066,58,16,1,2,1143
141,3,COCHABAMBA,30904,VINTO                         ,724,29,7,1,0,761
142,3,COCHABAMBA,30905,COLCAPIRHUA                   ,337,0,2,0,0,339
143,3,COCHABAMBA,31001,SACABA                        ,2384,51,5,6,0,2446
144,3,COCHABAMBA,31002,COLOMI                        ,228,17,20,1,0,266
145,3,COCHABAMBA,31003,VILLA TUNARI                  ,1586,99,5,21,0,1711
146,3,COCHABAMBA,31101,TAPACARI                      ,44,263,20,1,0,328
147,3,COCHABAMBA,31201,TOTORA(CBBA)                  ,317,19,2,1,0,339
148,3,COCHABAMBA,31202,POJO (CBBA)                   ,139,3,6,0,0,148
149,3,COCHABAMBA,31203,POCONA                        ,122,14,0,0,0,136
150,3,COCHABAMBA,31204,CHIMORE                       ,126,33,18,0,1,178
151,3,COCHABAMBA,31205,PUERTO VILLARROEL             ,1388,46,0,19,0,1453
152,3,COCHABAMBA,31206,ENTRE RIOS CBBA               ,267,13,13,0,0,293
153,3,COCHABAMBA,31301,MIZQUE                        ,325,113,2,2,0,442
154,3,COCHABAMBA,31302,VILA VILA                     ,25,39,0,0,0,64
155,3,COCHABAMBA,31303,ALALAY                        ,9,21,1,0,0,31
156,3,COCHABAMBA,31401,PUNATA                        ,910,8,0,12,0,930
157,3,COCHABAMBA,31402,VILLA RIVERO                  ,57,11,1,0,0,69
158,3,COCHABAMBA,31403,SAN BENITO                    ,45,3,0,0,0,48
159,3,COCHABAMBA,31404,TACACHI                       ,3,2,0,0,0,5
160,3,COCHABAMBA,31405,CUCHUMUELA (V. G. VILLARROEL) ,3,5,0,0,0,8
161,3,COCHABAMBA,31501,BOLIVAR                       ,9,90,0,0,0,99
162,3,COCHABAMBA,31601,TIRAQUE (CBBA)                ,238,35,1,2,0,276
163,3,COCHABAMBA,31602,SHINAOTA                      ,470,12,2,1,2,487
164,4,ORURO     ,40101,ORURO                         ,8298,62,11,125,0,8496
165,4,ORURO     ,40102,CARACOLLO                     ,191,38,33,0,0,262
166,4,ORURO     ,40103,EL CHORO                      ,29,22,1,0,0,52
167,4,ORURO     ,40104,SORACACHI                     ,22,63,1,0,0,86
168,4,ORURO     ,40201,CHALLAPATA                    ,528,137,33,7,0,705
169,4,ORURO     ,40202,SANTUARIO DE QUILLACAS        ,30,14,1,0,0,45
170,4,ORURO     ,40301,CORQUE                        ,32,39,0,0,0,71
171,4,ORURO     ,40302,CHOQUE COTA                   ,0,6,2,0,0,8
172,4,ORURO     ,40401,CURAHUARA DE CARANGAS         ,40,8,17,0,1,66
173,4,ORURO     ,40402,TURCO                         ,14,15,3,0,0,32
174,4,ORURO     ,40501,HUACHACALLA                   ,5,0,2,0,0,7
175,4,ORURO     ,40503,CRUZ DE MACHACAMARCA          ,0,2,0,0,0,2
176,4,ORURO     ,40504,YUNGUYO DE LITORAL            ,0,1,0,0,0,1
177,4,ORURO     ,40505,ESMERALDA                     ,1,,,0,,1
178,4,ORURO     ,40601,POOPO                         ,31,3,2,0,0,36
179,4,ORURO     ,40602,PAZÑA                         ,41,17,0,0,0,58
180,4,ORURO     ,40603,ANTEQUERA                     ,14,2,0,0,0,16
181,4,ORURO     ,40701,HUANUNI                       ,320,12,9,1,0,342
